run_id	__done	run_number	function	input_size	treatment	execution_time	cpu_usage	memory_usage	energy_usage	rep_idx	schedule_order
run_254	TODO	r14	Knapsack	100_items	Baseline					14	425
run_269	TODO	r14	Knapsack	100_items	Unroll-4					14	426
run_299	TODO	r14	Knapsack	500_items	Unroll-4					14	427
run_284	TODO	r14	Knapsack	500_items	Baseline					14	428
run_389	TODO	r14	StockSpan	10^5	Unroll-4					14	429
run_374	TODO	r14	StockSpan	10^5	Baseline					14	430
run_314	TODO	r14	PrefixSum	10^6	Baseline					14	431
run_329	TODO	r14	PrefixSum	10^6	Unroll-4					14	432
run_239	TODO	r14	FloydWarshall	200x200	Unroll-4					14	433
run_224	TODO	r14	FloydWarshall	200x200	Baseline					14	434
run_179	TODO	r14	MaxSubarray	10^5	Unroll-4					14	435
run_164	TODO	r14	MaxSubarray	10^5	Baseline					14	436
run_404	TODO	r14	EquilibriumIndex	10^5	Baseline					14	437
run_419	TODO	r14	EquilibriumIndex	10^5	Unroll-4					14	438
run_209	TODO	r14	FloydWarshall	100x100	Unroll-4					14	439
run_194	TODO	r14	FloydWarshall	100x100	Baseline					14	440
run_344	TODO	r14	ProductSum	10^5	Baseline					14	441
run_359	TODO	r14	ProductSum	10^5	Unroll-4					14	442
run_059	TODO	r14	Mergesort	10^5	Unroll-4					14	443
run_044	TODO	r14	Mergesort	10^5	Baseline					14	444
run_449	TODO	r14	BFS	1e3_nodes	Unroll-4					14	445
run_434	TODO	r14	BFS	1e3_nodes	Baseline					14	446
run_104	TODO	r14	Strassen	256x256	Baseline					14	447
run_119	TODO	r14	Strassen	256x256	Unroll-4					14	448
run_210	TODO	r15	FloydWarshall	100x100	Unroll-4					15	449
run_195	TODO	r15	FloydWarshall	100x100	Baseline					15	450
run_075	TODO	r15	Strassen	128x128	Baseline					15	451
run_090	TODO	r15	Strassen	128x128	Unroll-4					15	452
run_315	TODO	r15	PrefixSum	10^6	Baseline					15	453
run_330	TODO	r15	PrefixSum	10^6	Unroll-4					15	454
run_225	TODO	r15	FloydWarshall	200x200	Baseline					15	455
run_240	TODO	r15	FloydWarshall	200x200	Unroll-4					15	456
run_300	TODO	r15	Knapsack	500_items	Unroll-4					15	457
run_285	TODO	r15	Knapsack	500_items	Baseline					15	458
run_435	TODO	r15	BFS	1e3_nodes	Baseline					15	459
run_450	TODO	r15	BFS	1e3_nodes	Unroll-4					15	460
run_480	TODO	r15	BFS	1e4_nodes	Unroll-4					15	461
run_465	TODO	r15	BFS	1e4_nodes	Baseline					15	462
run_105	TODO	r15	Strassen	256x256	Baseline					15	463
run_120	TODO	r15	Strassen	256x256	Unroll-4					15	464
run_150	TODO	r15	MaxSubarray	10^4	Unroll-4					15	465
run_135	TODO	r15	MaxSubarray	10^4	Baseline					15	466
run_030	TODO	r15	Mergesort	10^4	Unroll-4					15	467
run_015	TODO	r15	Mergesort	10^4	Baseline					15	468
run_390	TODO	r15	StockSpan	10^5	Unroll-4					15	469
run_375	TODO	r15	StockSpan	10^5	Baseline					15	470
run_360	TODO	r15	ProductSum	10^5	Unroll-4					15	471
run_345	TODO	r15	ProductSum	10^5	Baseline					15	472
run_060	TODO	r15	Mergesort	10^5	Unroll-4					15	473
run_045	TODO	r15	Mergesort	10^5	Baseline					15	474
run_270	TODO	r15	Knapsack	100_items	Unroll-4					15	475
run_255	TODO	r15	Knapsack	100_items	Baseline					15	476
run_180	TODO	r15	MaxSubarray	10^5	Unroll-4					15	477
run_165	TODO	r15	MaxSubarray	10^5	Baseline					15	478
run_420	TODO	r15	EquilibriumIndex	10^5	Unroll-4					15	479
run_405	TODO	r15	EquilibriumIndex	10^5	Baseline					15	480
