,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
0,huffman-txt-small-low-1,1.7513631010219974,1.0,3995.3740234375,7.16665,0.286175,1948.092412973817
1,huffman-txt-small-low-2,1.7566742427025976,1.0,3519.4404296875,6.81546,0.24745,2086.8488160735096
2,huffman-txt-small-low-3,1.7525687707109203,1.0,4112.287109375,6.90778,0.25763,2310.726245920428
3,huffman-txt-small-low-4,1.7476822736795403,1.0,3383.83984375,6.815239999999999,0.247425,2006.712087500712
4,huffman-txt-small-low-5,1.7465461522988877,1.0,3439.65234375,6.7921,0.24487,2068.116010135315
5,huffman-txt-small-low-6,1.7510116420212296,1.0,3041.6103515625,6.79371,0.24505,1827.013962351665
6,huffman-txt-small-low-7,1.752669432128431,1.0,3577.6943359375,6.82726,0.24875,2106.656374261225
7,huffman-txt-small-low-8,1.7507518321507454,1.0,3982.306640625,6.815239999999999,0.247425,2361.6197104117277
8,huffman-txt-small-low-9,1.7502302386407231,1.0,3937.8720703125,6.78076,0.24362,2383.802611009668
9,huffman-txt-small-low-10,1.7501178552683874,1.0,3564.6259765625,6.8039000000000005,0.246175,2128.198334867391
10,huffman-txt-small-low-11,1.7462233585362483,1.0,3935.6708984375,6.8039,0.246175,2349.724293014864
11,huffman-txt-small-low-12,1.705800274522647,1.0,3731.478515625,6.78076,0.24362,2258.861656663077
12,huffman-txt-small-low-13,1.7499716438577864,1.0,3751.5771484375,6.79233,0.244895,2255.3564283363394
13,huffman-txt-small-low-14,1.7506621690809347,1.0,4097.8251953125,6.81546,0.24745,2429.801506279054
14,huffman-txt-small-low-15,1.7494835809107203,1.0,4240.54296875,7.50928,0.323955,1743.1649407294587
15,huffman-txt-small-low-16,1.7458898741546869,1.0,3903.509765625,6.815239999999999,0.247425,2314.890949943989
16,huffman-txt-small-low-17,1.747591402439597,1.0,3806.984375,7.31897,0.30297,1716.846630297346
17,huffman-txt-small-low-18,1.7494144067545498,1.0,3877.6875,6.78076,0.24362,2347.369701739955
18,huffman-txt-small-low-19,1.7528719983576544,1.0,3577.767578125,6.79233,0.244895,2150.86636557062
19,huffman-txt-small-low-20,1.752377899981978,1.0,3771.12890625,6.79233,0.244895,2267.110466950756
20,huffman-txt-small-low-21,1.7479437154283053,1.0,3755.0185546875,6.78099,0.24365,2272.7547164453244
21,huffman-txt-small-low-22,1.7462856771701587,1.0,4129.1337890625,6.81593,0.2475,2447.7024917651693
22,huffman-txt-small-low-23,1.7497299850976216,1.0,3834.1279296875,6.79371,0.24505,2303.0580683627068
23,huffman-txt-small-low-24,1.751193480911442,1.0,3649.0947265625,6.804589999999999,0.24625,2177.744550086202
24,huffman-txt-small-low-25,1.7539954000869762,1.0,3553.94921875,6.8039,0.246175,2121.823961132884
25,huffman-txt-small-low-26,1.7508307894548785,1.0,3632.2333984375,6.8039,0.246175,2168.5621776955254
26,huffman-txt-small-low-27,1.7230487181491547,1.0,3450.5537109375,6.79326,0.245,2073.2156133732674
27,huffman-txt-small-low-28,1.7530353180118887,1.0,4104.5263671875,6.79233,0.2449,2467.4904879378764
28,huffman-txt-small-low-29,1.746289158997352,1.0,3444.361328125,6.8039,0.246175,2056.3964049507726
29,huffman-txt-small-low-30,1.746658097195848,1.0,3248.0888671875,6.79233,0.2449,1952.6317208808296
30,huffman-txt-small-low-31,1.7563272398074,1.0,3548.2021484375,6.963749999999999,0.2638,1931.4807843104436
31,huffman-txt-small-low-32,1.7491033896645647,1.0,3646.2666015625,6.7909,0.24474,2193.896465741455
32,huffman-txt-small-low-33,1.7477235560683333,1.0,3861.9052734375,7.36667,0.30823,1700.808803954725
33,huffman-txt-small-low-34,1.727937636905811,1.0,3718.443359375,6.8039,0.246175,2220.0323449788543
34,huffman-txt-small-low-35,1.7468344968767149,1.0,3424.83203125,6.815,0.2474,2031.2983754450545
35,huffman-txt-small-low-36,1.7480654974637728,1.0,3939.943359375,6.81546,0.24745,2336.185623587459
36,huffman-txt-small-low-37,1.7476292855998536,1.0,3796.2578125,6.68182,0.232715,2441.386559195544
37,huffman-txt-small-low-38,1.744383569403953,1.0,3593.0537109375,6.79349,0.245025,2158.5413419719966
38,huffman-txt-small-low-39,1.750229246223682,1.0,3182.3076171875,6.77909,0.24344,1928.3187285139372
39,huffman-txt-small-low-40,1.75167989532372,1.0,3361.603515625,6.79183,0.2448449999999999,2021.4753161942756
40,huffman-txt-small-low-41,1.7440662281150454,1.0,3416.375,6.7692,0.242345,2082.5437101137827
41,huffman-txt-small-low-42,1.748658902101917,1.0,3188.6376953125,6.815239999999999,0.247425,1890.9517297819084
42,huffman-txt-small-low-43,1.748000049218085,1.0,3918.1484375,6.81546,0.247445,2323.3092906597035
43,huffman-txt-small-low-44,1.7463326967278288,1.0,4095.6376953125,6.78076,0.24362,2479.3065029816403
44,huffman-txt-small-low-45,1.7439992870629015,1.0,3807.3974609375,6.7921,0.24487,2289.225438792106
45,huffman-txt-small-low-46,1.7517638834477471,1.0,4042.119140625,6.80367,0.24615,2413.6040684845743
46,huffman-txt-small-low-47,1.7521947118539971,1.0,4286.6416015625,6.79256,0.244925,2576.621191911384
47,huffman-txt-small-low-48,1.751839113845278,1.0,4292.25390625,6.8039,0.246175,2562.6160153044443
48,huffman-txt-small-low-49,1.749584177314486,1.0,3140.1201171875,6.82634,0.24865,1849.9921356764312
49,huffman-txt-small-low-50,1.7487531462080543,1.0,4086.896484375,6.86174,0.25255,2358.370353693714
50,huffman-txt-small-high-1,1.689858284287323,1.0,3993.8193359375,6.79233,0.2449,2400.9374871480686
51,huffman-txt-small-high-2,1.6845512617531555,2.0,4638.2646484375,10.22247,0.2473966666666666,1834.0274703893488
52,huffman-txt-small-high-3,1.6797067855367198,1.0,3897.0703125,6.78054,0.243595,2359.421809223072
53,huffman-txt-small-high-4,1.679736765506714,2.0,4221.26953125,10.19984,0.24573,1684.1917792289742
54,huffman-txt-small-high-5,1.6758105494711175,1.0,3850.458984375,6.80367,0.24615,2299.1611941412266
55,huffman-txt-small-high-6,1.6773962612279882,2.0,4417.8203125,10.2102,0.2464933333333333,1755.369793079718
56,huffman-txt-small-high-7,1.6841971164078489,2.0,4156.5322265625,10.2114,0.24658,1650.7755017334475
57,huffman-txt-small-high-8,1.684483584348075,2.0,4092.251953125,10.20006,0.2457466666666666,1632.5707173321669
58,huffman-txt-small-high-9,1.681487641986296,1.0,4143.525390625,6.7692,0.242345,2525.797882241513
59,huffman-txt-small-high-10,1.6721133861888593,2.0,3996.53125,10.22297,0.24743,1579.9879389657012
60,huffman-txt-small-high-11,1.6863032313410533,2.0,4783.681640625,10.88231,0.2959033333333333,1485.563835275409
61,huffman-txt-small-high-12,1.6814642317949045,1.0,3805.4140625,6.79326,0.245,2286.428356329416
62,huffman-txt-small-high-13,1.669836644487505,2.0,3939.2275390625,10.69468,0.28211,1305.6440443780405
63,huffman-txt-small-high-14,1.6766786950833414,2.0,4013.96484375,10.30232,0.2532666666666667,1538.3689106982458
64,huffman-txt-small-high-15,1.6784146333237224,1.0,3830.427734375,6.81546,0.24745,2271.2484391291064
