__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_16_repetition_1,DONE,mandlebrot/original.py,numba,27.886,28.124,95.862,100.0,7885,7640,392691712,397803520
run_17_repetition_1,DONE,mandlebrot/original.py,cython,19.487,20.003,94.803,99.837,5909,5492,374988800,381575168
run_18_repetition_1,DONE,nbody/original.py,original,4.355,4.409,79.271,100.0,1483,1312,10280960,10280960
run_19_repetition_1,DONE,nbody/original.py,numba,4.813,4.717,78.973,100.0,1501,1445,10186752,10186752
run_20_repetition_1,DONE,nbody/original.py,cython,4.826,5.378,79.073,99.315,1750,1369,10727424,10727424
run_21_repetition_1,DONE,recur_matrix_multiplication/original.py,original,3.675,3.147,70.64,99.271,1254,1217,10072064,10072064
run_22_repetition_1,DONE,recur_matrix_multiplication/original.py,numba,3.161,3.381,75.977,98.329,1463,1066,10084352,10280960
run_23_repetition_1,DONE,recur_matrix_multiplication/original.py,cython,1.51,1.698,53.652,96.939,665,514,38719488,38969344
run_24_repetition_1,DONE,richards/original.py,original,4.859,3.879,78.86,100.0,1444,1141,25841664,25800704
run_25_repetition_1,DONE,richards/original.py,numba,4.588,3.901,79.786,98.525,1558,1141,25939968,25690112
run_26_repetition_1,DONE,richards/original.py,cython,5.801,5.379,82.582,100.0,1900,1464,25735168,25702400
run_27_repetition_1,DONE,spectral_norm/original.py,original,9.866,10.102,89.061,99.686,2850,2528,77901824,77901824
run_28_repetition_1,DONE,spectral_norm/original.py,numba,10.476,10.282,89.411,99.328,2812,2529,78467072,78467072
run_29_repetition_1,DONE,spectral_norm/original.py,cython,8.729,8.433,87.619,99.28,2546,2243,79851520,79851520
run_0_repetition_2,DONE,binary_trees/original.py,original,3.466,3.749,86.256,99.038,2299,1958,449765376,478683136
run_1_repetition_2,DONE,binary_trees/original.py,numba,4.122,4.306,86.073,99.531,2280,1901,451907584,485855232
run_2_repetition_2,DONE,binary_trees/original.py,cython,2.986,2.865,80.247,99.265,1577,1274,439005184,477913088
run_3_repetition_2,DONE,dac_mergesort/original.py,original,2.315,1.507,63.483,100.0,855,780,30814208,30683136
run_4_repetition_2,DONE,dac_mergesort/original.py,numba,2.374,1.836,61.686,97.744,836,704,30752768,30621696
run_5_repetition_2,DONE,dac_mergesort/original.py,cython,1.342,1.703,64.519,96.059,855,533,30998528,30867456
run_6_repetition_2,DONE,dijkstra/original.py,original,2.424,2.642,67.834,98.889,950,837,10223616,10641408
run_7_repetition_2,DONE,dijkstra/original.py,numba,2.629,2.871,67.4,98.074,988,761,10493952,10493952
run_8_repetition_2,DONE,dijkstra/original.py,cython,2.19,2.2,64.583,99.231,893,723,10870784,10870784
run_9_repetition_2,DONE,fannkuch/original.py,original,1.716,1.451,61.13,95.671,798,400,25264128,25264128
run_10_repetition_2,DONE,fannkuch/original.py,numba,1.382,1.389,65.232,96.087,931,419,25264128,25264128
run_11_repetition_2,DONE,fannkuch/original.py,cython,1.409,1.06,57.5,100.0,741,305,25575424,25559040
run_12_repetition_2,DONE,insertionsort/original.py,original,1.873,1.843,60.97,100.0,798,514,16596992,16596992
run_13_repetition_2,DONE,insertionsort/original.py,numba,1.898,1.757,60.078,98.065,779,571,16629760,16629760
run_14_repetition_2,DONE,insertionsort/original.py,cython,2.096,2.035,59.949,100.0,779,533,16822272,16822272
run_15_repetition_2,DONE,mandlebrot/original.py,original,28.526,27.896,95.949,100.0,8075,7601,388014080,394502144
run_16_repetition_2,DONE,mandlebrot/original.py,numba,28.672,28.492,95.885,99.811,7989,7629,387620864,394305536
run_17_repetition_2,DONE,mandlebrot/original.py,cython,20.431,20.049,94.375,100.0,5871,5511,377638912,383156224
run_18_repetition_2,DONE,nbody/original.py,original,4.509,4.491,78.025,100.0,1444,1350,10231808,10231808
run_19_repetition_2,DONE,nbody/original.py,numba,4.443,4.717,78.483,100.0,1463,1293,10096640,10297344
run_20_repetition_2,DONE,nbody/original.py,cython,5.118,4.826,79.259,99.342,1501,1426,10674176,10674176
run_21_repetition_2,DONE,recur_matrix_multiplication/original.py,original,3.278,3.42,74.263,100.0,1254,1141,10031104,10424320
run_22_repetition_2,DONE,recur_matrix_multiplication/original.py,numba,2.975,3.137,75.086,100.0,1292,1161,10031104,10227712
run_23_repetition_2,DONE,recur_matrix_multiplication/original.py,cython,1.551,1.922,50.778,97.037,665,496,38559744,39018496
run_24_repetition_2,DONE,richards/original.py,original,4.481,4.081,80.27,98.706,1558,1141,25690112,25690112
run_25_repetition_2,DONE,richards/original.py,numba,4.125,3.933,79.273,99.137,1539,1141,26107904,25985024
run_26_repetition_2,DONE,richards/original.py,cython,5.874,5.584,83.947,100.0,1881,1483,25669632,25403392
run_27_repetition_2,DONE,spectral_norm/original.py,original,9.81,9.879,88.726,100.0,2793,2471,77983744,77983744
run_28_repetition_2,DONE,spectral_norm/original.py,numba,10.102,9.893,88.095,99.406,2850,2498,78598144,78598144
run_29_repetition_2,DONE,spectral_norm/original.py,cython,8.717,8.207,87.475,100.0,2546,2319,80175104,80175104
run_0_repetition_3,DONE,binary_trees/original.py,original,4.366,3.936,85.287,100.0,2204,1920,451407872,483667968
run_1_repetition_3,DONE,binary_trees/original.py,numba,3.83,4.119,88.133,99.208,2299,1901,444522496,480632832
run_2_repetition_3,DONE,binary_trees/original.py,cython,3.092,2.445,77.827,98.929,1425,1313,439111680,477917184
run_3_repetition_3,DONE,dac_mergesort/original.py,original,1.868,2.092,68.773,100.0,969,667,30883840,30752768
run_4_repetition_3,DONE,dac_mergesort/original.py,numba,2.308,2.284,63.527,100.0,855,609,30855168,30724096
run_5_repetition_3,DONE,dac_mergesort/original.py,cython,1.518,1.57,61.464,100.0,779,533,31068160,30937088
run_6_repetition_3,DONE,dijkstra/original.py,original,2.843,2.607,66.632,99.318,988,818,10272768,10493952
run_7_repetition_3,DONE,dijkstra/original.py,numba,2.765,2.445,67.412,100.0,912,913,10260480,10481664
run_8_repetition_3,DONE,dijkstra/original.py,cython,2.272,2.61,65.481,99.306,931,666,10838016,10838016
run_9_repetition_3,DONE,fannkuch/original.py,original,1.56,1.374,64.438,100.0,874,381,25227264,25227264
run_10_repetition_3,DONE,fannkuch/original.py,numba,2.011,1.375,58.113,96.491,780,381,25452544,25313280
run_11_repetition_3,DONE,fannkuch/original.py,cython,1.291,1.038,58.76,100.0,760,305,25559040,25559040
run_12_repetition_3,DONE,insertionsort/original.py,original,1.553,1.914,60.943,98.496,817,514,16396288,16592896
run_13_repetition_3,DONE,insertionsort/original.py,numba,1.673,1.203,62.538,100.0,931,742,16400384,16596992
run_14_repetition_3,DONE,insertionsort/original.py,cython,2.052,1.707,63.595,98.548,760,571,16871424,16871424
run_15_repetition_3,DONE,mandlebrot/original.py,original,27.764,27.144,96.211,99.854,8075,7791,395849728,397815808
run_16_repetition_3,DONE,mandlebrot/original.py,numba,26.905,26.58,95.661,99.779,7220,6860,391434240,393420800
run_17_repetition_3,DONE,mandlebrot/original.py,cython,20.371,19.854,94.468,99.853,5795,5407,380846080,386080768
run_18_repetition_3,DONE,nbody/original.py,original,4.661,4.725,79.144,100.0,1501,1293,10141696,10342400
run_19_repetition_3,DONE,nbody/original.py,numba,5.032,5.176,81.832,99.277,1729,1559,10096640,10096640
run_20_repetition_3,DONE,nbody/original.py,cython,5.018,4.84,79.828,98.581,1501,1388,10661888,10661888
run_21_repetition_3,DONE,recur_matrix_multiplication/original.py,original,3.649,3.325,73.716,98.659,1216,1084,10117120,10313728
run_22_repetition_3,DONE,recur_matrix_multiplication/original.py,numba,3.544,3.156,76.043,100.0,1292,1103,9875456,10072064
run_23_repetition_3,DONE,recur_matrix_multiplication/original.py,cython,1.518,1.775,54.454,97.076,684,496,38473728,38952960
