,,cold_start_energy,cold_start_energy,cold_start_energy,cold_start_energy,cold_start_energy,cold_start_energy,cold_start_energy,cold_start_energy,warm_start_energy,warm_start_energy,warm_start_energy,warm_start_energy,warm_start_energy,warm_start_energy,warm_start_energy,warm_start_energy,cold_start_cpu_util,cold_start_cpu_util,cold_start_cpu_util,cold_start_cpu_util,cold_start_cpu_util,cold_start_cpu_util,cold_start_cpu_util,cold_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,warm_start_cpu_util,cold_start_duration,cold_start_duration,cold_start_duration,cold_start_duration,cold_start_duration,cold_start_duration,cold_start_duration,cold_start_duration,warm_start_duration,warm_start_duration,warm_start_duration,warm_start_duration,warm_start_duration,warm_start_duration,warm_start_duration,warm_start_duration,cold_start_memory_util,cold_start_memory_util,cold_start_memory_util,cold_start_memory_util,cold_start_memory_util,cold_start_memory_util,cold_start_memory_util,cold_start_memory_util,warm_start_memory_util,warm_start_memory_util,warm_start_memory_util,warm_start_memory_util,warm_start_memory_util,warm_start_memory_util,warm_start_memory_util,warm_start_memory_util
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
benchmark,compilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_trees/original.py,cython,15.0,2.917,0.34932097397256706,2.305,2.759,2.97,3.0845000000000002,3.584,15.0,2.6162666666666667,0.23940356444018687,2.093,2.4695,2.692,2.7995,2.959,15.0,79.79733333333334,1.0855351324621065,77.827,78.821,79.862,80.80099999999999,81.177,15.0,99.43393333333333,0.5968594554196236,98.571,98.8785,99.545,100.0,100.0,15.0,1566.9333333333334,85.48054638058773,1425.0,1511.0,1558.0,1615.0,1710.0,15.0,1305.7333333333333,62.47567145545155,1198.0,1255.0,1312.0,1350.0,1407.0,15.0,443000695.46666664,3056377.087699138,439005184.0,440166400.0,443162624.0,444528640.0,448466944.0,15.0,475546419.2,5306917.7596451435,463278080.0,471928832.0,477298688.0,477956096.0,483356672.0
binary_trees/original.py,numba,15.0,4.118666666666667,0.2400213284173681,3.664,3.9715000000000003,4.122,4.3045,4.492,15.0,4.169066666666667,0.2416867709207421,3.657,4.022,4.136,4.314,4.612,15.0,86.20353333333333,0.8687368388862622,84.874,85.5615,86.073,86.4495,88.133,15.0,99.74593333333335,0.2718401491072777,99.208,99.536,99.755,100.0,100.0,15.0,2263.5333333333333,86.13599435665397,2128.0,2194.5,2280.0,2318.0,2394.0,15.0,1932.8,48.46530423184935,1863.0,1901.0,1920.0,1958.0,2053.0,15.0,447323613.8666667,4379831.03060325,441790464.0,444102656.0,446771200.0,449005568.0,455565312.0,15.0,481142647.46666664,2137576.0376233193,478011392.0,480065536.0,480632832.0,482371584.0,485855232.0
binary_trees/original.py,original,15.0,4.005999999999999,0.3472991711561004,3.366,3.8354999999999997,3.981,4.218500000000001,4.577,15.0,3.8934666666666664,0.15000136507315368,3.597,3.8019999999999996,3.898,3.9795,4.186,15.0,85.79406666666665,0.7298004097664236,84.199,85.3935,85.797,86.374,86.751,15.0,99.53326666666668,0.460394468544819,98.868,99.14250000000001,99.265,100.0,100.0,15.0,2249.6666666666665,81.97618701851921,2147.0,2185.0,2204.0,2289.5,2433.0,15.0,1961.9333333333334,38.26685747422149,1882.0,1939.0,1958.0,1996.0,2015.0,15.0,447758882.1333333,4044545.526451959,442183680.0,444127232.0,449343488.0,451213312.0,452894720.0,15.0,481819579.73333335,3933459.4322771663,477966336.0,479031296.0,480092160.0,483747840.0,488738816.0
dac_mergesort/original.py,cython,15.0,1.620066666666667,0.2257601339812636,1.082,1.5085000000000002,1.629,1.782,1.987,15.0,1.6403333333333334,0.2286462228817595,1.255,1.4615,1.666,1.8425,1.944,15.0,61.488733333333336,3.1127060222501544,58.275,59.5005,60.66,62.64,70.077,15.0,98.88506666666667,1.3941281180450416,96.059,97.9495,100.0,100.0,100.0,15.0,808.1333333333333,82.46546174582653,722.0,750.5,798.0,836.0,1045.0,15.0,524.4,39.99964285554845,457.0,495.0,533.0,543.0,609.0,15.0,31005354.666666668,85662.32959931079,30810112.0,30943232.0,31019008.0,31039488.0,31174656.0,15.0,30888209.066666666,74559.84487210514,30810112.0,30812160.0,30887936.0,30920704.0,31043584.0
dac_mergesort/original.py,numba,15.0,2.1781333333333333,0.20614033592491812,1.812,2.028,2.217,2.3485,2.432,15.0,1.9390666666666667,0.21192029049576522,1.603,1.819,1.887,2.0765000000000002,2.284,15.0,65.32046666666666,2.195027558130508,61.686,63.741,65.149,66.3995,70.503,15.0,98.98166666666667,0.9594632924316653,97.368,98.37950000000001,98.667,100.0,100.0,15.0,927.2666666666667,65.46696731576779,836.0,883.5,912.0,959.5,1064.0,15.0,704.0666666666667,61.51244550805107,609.0,666.0,704.0,723.0,838.0,15.0,30868548.266666666,66506.49043242392,30752768.0,30814208.0,30855168.0,30914560.0,30969856.0,15.0,30773794.133333333,94384.226065487,30621696.0,30701568.0,30781440.0,30838784.0,30912512.0
dac_mergesort/original.py,original,15.0,2.1568,0.2204583536958527,1.635,2.027,2.251,2.2975000000000003,2.417,15.0,1.8934666666666666,0.2440602579770199,1.435,1.7965,1.878,2.049,2.37,15.0,64.70673333333333,2.1124196169547464,60.954,63.4595,64.815,65.4805,69.083,15.0,99.1804,0.9757864813281928,97.551,98.29599999999999,100.0,100.0,100.0,15.0,890.4666666666667,52.2150315887056,836.0,855.0,874.0,912.0,1007.0,15.0,700.3333333333334,56.142251299287786,628.0,657.0,685.0,732.5,818.0,15.0,30855441.066666666,69846.22285264215,30765056.0,30789632.0,30851072.0,30920704.0,30961664.0,15.0,30762325.333333332,74079.33221955526,30613504.0,30713856.0,30789632.0,30828544.0,30859264.0
dijkstra/original.py,cython,15.0,2.231733333333333,0.1982600985237995,1.74,2.1555,2.263,2.341,2.615,15.0,2.2880666666666665,0.20810041074534416,1.773,2.184,2.285,2.4075,2.61,15.0,63.91439999999999,1.9026873776695048,60.125,63.016,64.291,64.6065,67.593,15.0,98.67826666666666,0.8341160819066114,97.714,97.88900000000001,98.942,99.2875,100.0,15.0,877.8,48.28072670775132,798.0,836.0,874.0,912.0,969.0,15.0,701.5333333333333,56.94341385052692,647.0,666.0,704.0,723.0,875.0,15.0,10929493.333333334,74931.80202468553,10833920.0,10864640.0,10924032.0,10995712.0,11034624.0,15.0,10929493.333333334,74931.80202468553,10833920.0,10864640.0,10924032.0,10995712.0,11034624.0
dijkstra/original.py,numba,15.0,2.6216666666666666,0.18731473386738565,2.205,2.545,2.647,2.7439999999999998,2.864,15.0,2.6541333333333332,0.22420330909583783,2.321,2.445,2.675,2.884,2.925,15.0,67.70966666666666,2.2219314206552907,63.455,66.741,67.4,68.977,71.823,15.0,99.24833333333335,0.80222019302386,98.074,98.5185,99.373,100.0,100.0,15.0,995.5333333333333,81.19101521954848,912.0,931.0,987.0,1007.0,1197.0,15.0,834.5333333333333,66.46681950596174,742.0,780.0,799.0,894.0,932.0,15.0,10364791.466666667,118439.13945619417,10186752.0,10266624.0,10371072.0,10485760.0,10493952.0,15.0,10553207.466666667,80247.95718794402,10469376.0,10491904.0,10493952.0,10604544.0,10706944.0
